Company Code,Policy number,Policy owner  1,Policy owner 2,Additional owners,Renewal date,Policy status,Policy start date,Life insured first name,Life insured last name,Date of birth,Gender,Product,Cover,Cover status,Amount insured,Benefit payment,Endorsement effective date,Cancellation effective date,Smoker,Loading,Loading type,Loading amount,Loading  expiry,Occupation class/category,Benefit basis,Waiting period,Benefit period,Payment frequency,Current premium,Annualised premium,Payment method,Premium status,Amount o/s,Premium type,Indexation,Sales account,Adviser name,Commission type,Dial down option,Dial down %
AAA,12345,MICHAEL JACKSON,,,31/03/2018,In force,31/03/2006,MICHAEL,JACKSON,6/08/1977,Male,OneCare Non Super,Life,In Force,"$85,513.00",Lump Sum,31/03/2017,,No,N,-,-,-,I,,,,Monthly,$4.44,$53.23,Direct debit,Paid up to date,$0.00,Stepped,Y,10000,LifeBroker Pty ltd,Upfront,Full commission,0
AAA,12345,MICHAEL JACKSON,,,31/03/2018,In force,31/03/2006,MICHAEL,JACKSON,6/08/1977,Male,OneCare Non Super,Income Secure Comprehensive,In Force,$3865.00/mth,Indemnity,31/03/2017,,No,N,-,-,-,I,Indemnity,30 days,To age 65,Monthly,$104.64,"$1,255.66",Direct debit,Paid up to date,$0.00,Stepped,Y,10000,LifeBroker Pty ltd,Upfront,Full commission,0
AAA,12345,MICHAEL JACKSON,,,31/03/2018,In force,31/03/2006,MICHAEL,JACKSON,6/08/1977,Male,OneCare Non Super,Trauma Premier,In Force,"$85,513.00",Lump Sum,31/03/2017,,No,N,-,-,-,I,,,,Monthly,$15.07,$180.75,Direct debit,Paid up to date,$0.00,Stepped,Y,10000,LifeBroker Pty ltd,Upfront,Full commission,0
AAA,12345,MICHAEL JACKSON,,,31/03/2018,In force,31/03/2006,MICHAEL,JACKSON,6/08/1977,Male,OneCare Non Super,TPD(Working) Any Occupation,In Force,"$1,282,749.00",Lump Sum,31/03/2017,,No,N,-,-,-,I,,,,Monthly,$66.61,$799.24,Direct debit,Paid up to date,$0.00,Stepped,Y,10000,LifeBroker Pty ltd,Upfront,Full commission,0
AAA,12346,BOB MARLEY,,,7/03/2018,In force,7/03/2006,BOB,MARLEY,21/04/1975,Male,OneCare Non Super,Life,In Force,"$427,581.00",Lump Sum,7/03/2017,,No,N,-,-,-,E,,,,Monthly,$35.78,$429.36,Direct debit,Paid up to date,$0.00,Stepped,Y,10000,LifeBroker Pty ltd,Upfront,Full commission,0
AAA,12346,BOB MARLEY,,,7/03/2018,In force,7/03/2006,BOB,MARLEY,21/04/1975,Male,OneCare Non Super,TPD(Working) Any Occupation,In Force,"$427,581.00",Lump Sum,7/03/2017,,No,N,-,-,-,E,,,,Monthly,$23.48,$281.74,Direct debit,Paid up to date,$0.00,Stepped,Y,10000,LifeBroker Pty ltd,Upfront,Full commission,0
AAA,12347,PEARL JAM SUPERANNUATION FUND,,,5/01/2018,In force,5/01/2006,EDDY,VEDDER,26/11/1967,Male,OneCare External Super,Life,In Force,"$855,165.00",Lump Sum,5/01/2017,,Yes,N,-,-,-,D*,,,,Monthly,$300.27,"$3,603.26",Direct debit,Paid up to date,$0.00,Stepped,Y,10000,LifeBroker Pty ltd,Upfront,Full commission,0
AAA,12347,PEARL JAM SUPERANNUATION FUND,,,5/01/2018,In force,5/01/2006,EDDY,VEDDER,26/11/1967,Male,OneCare External Super,TPD(Working) Any Occupation,In Force,"$855,165.00",Lump Sum,5/01/2017,,Yes,N,-,-,-,D*,,,,Monthly,$195.74,"$2,348.84",Direct debit,Paid up to date,$0.00,Stepped,Y,10000,LifeBroker Pty ltd,Upfront,Full commission,0
AAA,12348,WHITEY FORD,,,16/01/2018,In force,16/01/2006,WHITEY,FORD,11/07/1967,Male,OneCare Non Super,Life,In Force,"$213,786.00",Lump Sum,16/01/2017,,Yes,N,-,-,-,U,,,,Monthly,$97.09,"$1,165.06",Direct debit,Paid up to date,$0.00,Stepped,Y,10000,LifeBroker Pty ltd,Upfront,Full commission,0
AAA,12349,ANGIE HART,,,30/12/2017,In force,30/12/2005,GABRIELLE,PECK,31/01/1970,Female,OneCare Non Super,Life,In Force,"$342,063.00",Lump Sum,30/12/2016,,No,N,-,-,-,I,,,,Monthly,$22.79,$273.52,Direct debit,Paid up to date,$0.00,Level,Y,10000,LifeBroker Pty ltd,Upfront,All years (option A),100
